Event Name,Date,Location,Type,Region,Website,Latitude,Longitude,ShortForecast
Aryana Leon,1/25/2024,Barboza,Music,Capitol Hill / Central District,https://visitseattle.org/events/aryana-leon/,-13.248885,-41.0275842,Weather API response code: 404
Colorworks,1/25/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/colorworks/,47.6523876,-122.3538541520202,Chance Light Rain
Dar Williams,1/25/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/dar-williams/,N/A,N/A,N/A
Deb Perelman,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/deb-perelman/,47.6090191,-122.32993774092222,Chance Light Rain
Emanuel Brown,1/25/2024,Chop Suey,Music,Capitol Hill / Central District,https://visitseattle.org/events/emanuel-brown/,-38.1828956,176.2929559,Weather API response code: 404
James Miles,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/james-miles/,47.6090191,-122.32993774092222,Chance Light Rain
Madeline Pendleton,1/25/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,https://visitseattle.org/events/madeline-pendleton/,47.6146657,-122.319677,Chance Light Rain
October London,1/25/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/october-london/,47.6085136,-122.3394726,Chance Light Rain
Tacoma Stars vs. Empire Strykers,1/25/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-empire-strykers/,47.38765995,-122.24000381780328,Chance Light Rain
Dungeons and Drag Queens,1/26/2024,The Crocodile,Theatre,Downtown,https://visitseattle.org/events/dungeons-and-drag-queens/,47.6146474,-122.3490734,Rain
Global Rhythms: Yungchen Lhamo,1/26/2024,Town Hall Seattle,Music,Downtown,https://visitseattle.org/events/global-rhythms-yungchen-lhamo/,47.6090191,-122.32993774092222,Rain
Harlem Globetrotters 2024 World Tour –,1/26/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/harlem-globetrotters-2024-world-tour/,47.38765995,-122.24000381780328,Rain
Seattle Kraken vs. St. Louis Blues,1/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-st-louis-blues/,47.6219014,-122.353990491486,Rain
Shelf Nunny,1/26/2024,Barboza,Music,Capitol Hill / Central District,https://visitseattle.org/events/shelf-nunny/,-13.248885,-41.0275842,Weather API response code: 404
Super Diamond – The Neil Diamond Tribute Band,1/26/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/super-diamond-the-neil-diamond-tribute-band/,47.6085136,-122.3394726,Rain
The Disorderlies,1/26/2024,Slim's Last Chance,Music,South Seattle,https://visitseattle.org/events/the-disorderlies-2/,47.5524903,-122.33389967462686,Rain
Compania Nacional de Danza,Now through 1/27/2024,Meany Center for the Performing Arts,Dance,University District,https://visitseattle.org/events/compania-nacional-de-danza/,N/A,N/A,N/A
Metropolis,Now through 1/27/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/metropolis/,47.60811665,-122.33697040702705,Light Rain
Andy Coe Band,Now through 1/27/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/andy-coe-band/,47.6523876,-122.3538541520202,Light Rain
Harlem Globetrotters,1/27/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/harlem-globetrotters/,47.6219014,-122.353990491486,Light Rain
Seattle Thunderbirds vs. Everett Silvertips,1/27/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/seattle-thunderbirds-vs-everett-silvertips-2/,47.38765995,-122.24000381780328,Rain
The Budos Band,1/27/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/the-budos-band/,47.6085136,-122.3394726,Light Rain
The Human Family,1/27/2024,Opera Center,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/the-human-family/,44.43358325,26.079138268508792,Weather API response code: 404
